ra dec u g r i z
9.84209912635788 0.591647369684153 17.5356 16.0896 15.78019 15.44133 15.39201
10.0759112943273 0.925261784670114 19.119 18.88935 18.70092 18.60578 18.45139
9.67205728582979 1.13224581389344 21.3191 18.82455 17.50261 16.71949 16.24091
9.72210234226964 0.918042933986025 20.9362 18.36323 16.95561 16.20578 15.79471
10.0168148329695 0.880315581383207 21.34028 18.68887 17.20097 15.99015 15.36021
9.69645195191413 1.08329208455665 21.891 19.50287 18.14885 17.46932 17.11247
9.72918957821636 0.656378251715627 20.75077 19.03319 18.20039 17.87957 17.73536
9.55600785257343 1.21658402227415 21.63424 19.29646 17.96142 17.32156 16.93496
9.73318198741515 0.608359960554701 22.41047 19.58859 18.2695 17.57694 17.17996
9.70315481818042 0.741167670372952 22.10167 20.97485 20.24562 19.95728 19.84094
9.77014547646951 0.567939919029769 20.85553 19.91043 19.28502 18.62004 18.78602
9.77976828221506 0.927236249559794 20.52213 17.88904 16.48695 15.77274 15.39936
9.88086807612848 0.730505478874047 22.74479 20.31286 18.80291 17.92511 17.39366
9.69985512504314 0.630267568767651 22.37152 20.39163 18.96853 18.26713 17.85468
9.95221365366137 0.845145635943898 22.82829 20.70748 19.25633 18.60424 18.25644
10.130759319126 1.1685480780868 19.69578 18.58059 18.30015 18.07029 18.04954
9.75854525541689 0.577393860644487 18.9805 17.33819 16.70214 16.48269 16.36875
9.73681529898687 0.741183424931921 22.76869 21.34557 20.50696 20.30836 20.10741
9.52013626079611 1.04191062243646 22.46191 21.9395 20.57243 19.74356 19.38706
